Program,hasPrereqToMajor,prereqToMajorList,hasReqGenEds,reqGenEdsList,hasMajorCommonCore,majorCommonCoreList,hasThesisCapstone,ChooseThesisCapstone,hasMajorRestrictiveElectives,majorRestrictiveElectivesList,hasMajorUnrestrictedElectives,majorUnrestrictedElectives,hasRequiredMinor,minorName,otherGradReq
Finance (BS) Financial Planning and Insurance,TRUE,"['ACCT 200', 'STAT 154', 'ECON 207', 'FINA 201']",TRUE,"['ENG 101', 'MATH 121', 'ECON 201', ['credits_3', 'ECON 202', 'FINA 203']]",TRUE,"['FINA 301', 'FINA 302', 'FINA 303', 'FINA 360', 'FINA 401', 'FINA 410', 'FINA 420']",FALSE,[],TRUE,"[['credits_9', 'FINA 430', 'FINA 440', 'FINA 450', 'FINA 460']]",FALSE,[],FALSE,[],[]
Finance (BS) General Finance,TRUE,"['ACCT 200', 'STAT 154', 'ECON 207', 'FINA 201']",TRUE,"['ENG 101', 'MATH 121', 'ECON 201', ['credits_3', 'ECON 202', 'FINA 203']]",TRUE,"['FINA 301', 'FINA 302', 'FINA 303', 'FINA 360', 'FINA 401', 'FINA 420']",FALSE,[],TRUE,"[['credits_9', 'FINA 430', 'FINA 440', 'FINA 450', 'FINA 460']]",FALSE,[],FALSE,[],[]
Finance (BS) Quantitative Finance,TRUE,"['ACCT 200', 'STAT 154', 'ECON 207', 'FINA 201']",TRUE,"['ENG 101', 'MATH 121', 'ECON 201', ['credits_3', 'ECON 202', 'FINA 203']]",TRUE,"['FINA 301', 'FINA 302', 'FINA 303', 'FINA 360', 'FINA 401', 'FINA 420']",FALSE,[],TRUE,"[['credits_9', 'FINA 430', 'FINA 440', 'FINA 450', 'FINA 460']]",FALSE,[],FALSE,[],[]
Corrections (BS),TRUE,"['SOC 101', 'PSYC 101', 'POLI 101']",TRUE,"['ENG 101', 'MATH 100', 'BIOL 100', 'COMM 100', 'PHIL 100']",TRUE,"['CORR 201', 'CORR 202', 'CORR 301', 'CORR 302', 'CORR 401', 'CORR 402', 'CORR 497']",FALSE,['CORR 497'],TRUE,"[['credits_9', 'CORR 410', 'CORR 420', 'CORR 430', 'CORR 440']]",FALSE,[],FALSE,[],"['Internship', 'Professional Experience']"
Communication Sciences and Disorders (BS),TRUE,"['COMM 100', 'PSYC 100', 'STAT 101']",TRUE,"['ENG 101', 'BIOL 101', 'PHYS 101', 'MATH 121', 'COMM 102']",TRUE,"['CSD 201', 'CSD 202', 'CSD 301', 'CSD 302', 'CSD 401', 'CSD 402']",FALSE,[],TRUE,"[['credits_9', 'CSD 410', 'CSD 420', 'CSD 430']]",FALSE,[],FALSE,[],"['Clinical Practicum', 'Speech-Language Evaluation']"
Film and Media Studies (BA),TRUE,"['FILM 100', 'COMM 100']",TRUE,"['ENG 101', 'MATH 100', 'ART 101', 'HIST 101', 'PHIL 100']",TRUE,"['FILM 201', 'FILM 202', 'FILM 301', 'FILM 302', 'FILM 401', 'FILM 402', 'FILM 412']",FALSE,[],TRUE,"[['credits_9', 'FILM 410', 'FILM 420', 'FILM 430']]",FALSE,[],FALSE,[],"['Film Portfolio', 'Media Project']"
Computer Engineering (BSEC),TRUE,"['MATH 121', 'PHYS 211', 'CSCI 101']",TRUE,"['ENG 101', 'MATH 122', 'PHYS 221', 'CHEM 101', 'ECON 101']",TRUE,"['CSCI 201', 'CSCI 202', 'CSCI 301', 'EE 201', 'EE 202', 'EE 301', 'ENGR 301', 'ENGR 302', 'ENGR 401', 'ENGR 402']",FALSE,[],TRUE,"[['credits_9', 'CSCI 410', 'CSCI 420', 'CSCI 430', 'EE 410', 'EE 420']]",FALSE,[],FALSE,[],"['Senior Design Project', 'FE Exam']"
Psychology (BS),TRUE,"['PSYC 100', 'STAT 154']",TRUE,"['ENG 101', 'COMM 100', 'PSYC 201', 'PSYC 211W', 'MATH 121', 'PHIL 101']",TRUE,"['PSYC 300', 'PSYC 301', 'PSYC 320', 'PSYC 330', 'PSYC 450', 'PSYC 460', 'PSYC 470', 'PSYC 490']",FALSE,[],TRUE,"[['credits_9', 'PSYC 310', 'PSYC 340', 'PSYC 350', 'PSYC 360']]",FALSE,[],FALSE,[],['Psychology Research Lab']
Construction Management (BS),TRUE,"['CM 220', 'CM 222', 'MATH 121', 'PHYS 211']",TRUE,"['ENG 101', 'CHEM 101', 'COMM 100', 'MATH 122', 'PHYS 221']",TRUE,"['CM 300', 'CM 310', 'CM 320', 'CM 330', 'CM 340', 'CM 350', 'CM 410', 'CM 450', 'CM 490']",FALSE,['CM 450'],TRUE,"[['credits_9', 'CM 460', 'CM 470', 'CM 480']]",FALSE,[],FALSE,[],"['Internship', 'Field Experience']"
Biology (BS) Biomedical and Cellular Biology,TRUE,"['BIOL 105', 'CHEM 111', 'MATH 121']",TRUE,"['ENG 101', 'MATH 122', 'BIOL 201', 'CHEM 231', 'PHYS 221']",TRUE,"['BIOL 305', 'BIOL 315', 'BIOL 320', 'BIOL 330', 'BIOL 340', 'BIOL 470', 'BIOL 480']",FALSE,[],TRUE,"[['credits_9', 'BIOL 410', 'BIOL 420', 'BIOL 450', 'BIOL 455']]",FALSE,[],FALSE,[],"['Lab Research', 'Thesis Presentation']"
Biology (BS) Organismal Biology and Ecology,TRUE,"['BIOL 105', 'CHEM 111', 'MATH 121']",TRUE,"['ENG 101', 'MATH 122', 'BIOL 201', 'CHEM 231', 'PHYS 221']",TRUE,"['BIOL 305', 'BIOL 315', 'BIOL 320', 'BIOL 360', 'BIOL 365', 'BIOL 470']",FALSE,[],TRUE,"[['credits_9', 'BIOL 410', 'BIOL 420', 'BIOL 455', 'BIOL 460']]",FALSE,[],FALSE,[],"['Field Research', 'Thesis Presentation']"
Social Studies Teaching (BS) Anthropology,TRUE,"['HIST 101', 'GEOG 101', 'ANTH 110', 'SOC 101']",TRUE,"['ENG 101', 'MATH 100', 'COMM 100', 'HIST 201', 'GEOG 102']",TRUE,"['ANTH 201', 'ANTH 202', 'ANTH 301', 'ANTH 302', 'ANTH 425', 'ANTH 430', 'ANTH 490']",FALSE,[],TRUE,"[['credits_9', 'ANTH 305', 'ANTH 310', 'ANTH 315', 'ANTH 320', 'ANTH 325']]",FALSE,[],FALSE,[],"['Student Teaching', 'Classroom Observation']"
